id;cif;nombre;calle;numero;ciudad;web;telefono
1;EXE index clicks-and-mortar;Monte parse;circuit override;55288;defectos;Hecho utilización;Métricas back-end
2;bifurcada payment Borders;SSL multi-byte Sabroso;auxiliary Ronda Valenciana;99085;Humano collaborative Reducido;connect;digital
3;state Pescado Metal;Puerta Avon;Calidad Extremadura;71654;real-time Cambridgeshire;plug-and-play;Card
4;deposit;Galicia evolve terciaria;portal Colonia Implementado;11757;dedicada Algodón;Guantes Cliente;e-tailers grow Avon
5;digital;Avon Guantes;TCP Martinica;43195;Ladrillo Soluciones Inverso;Pre-emptivo drive Senior;GB Persistente
6;networks;JBOD withdrawal;Madrid;77467;Ladrillo Refinado Usabilidad;Especialista Plástico;payment
7;Plaza;Descentralizado;synthesize Albania Argentina;73355;Amarillo;Valenciana Arroyo;explícita haptic
8;invoice navigating;Expandido alarm;Senda;66061;Ergonómico;Paradigma Especialista leverage;cross-platform
9;Monte group Representante;Parafarmacia Director;payment;86084;Cantabria multitarea Cliente;Dinánmico SSL orchestrate;neural THX
10;Teclado Market Borders;Franc Coche Amarillo;synergize Puente;76066;Madrid synergistic;Pescado;circuit Bedfordshire interfaces
